source,media_tags
sulut times,suluttimes|national|website|indonesia|general|sulawesiutara|ebdeskind
wearecentralpa,wearecentralpa|general|international|unitedstates|ebdeskind
beautifulnara,portal|ebdeskmy|beautifulnara|malaysia|international|general|ebdeskind
jelajah pos,jelajahpos|general|national|website|indonesia|ebdeskind
loop png,looppng|general|international|papuanewguinea|ebdeskind
los angeles times,mainstream|losangelestimes|ebdeskmy|unitedstates|ebdeskind|international
natindo news,natindonews|general|national|website|indonesia|dewanpers|ebdeskind
poros maju,porosmaju|general|national|website|indonesia|ebdeskind
publik satu,publiksatu|general|national|website|indonesia|ebdeskind|sulawesitenggara|baubau|betoambari|lipu
rotikaya,portal|rotikaya|ebdeskmy|malaysia|international|general|ebdeskind
sg asiatatler,singaporetatler|singapore|mainstream|ebdeskmy
soppeng today,soppengtoday|general|national|website|indonesia|ebdeskind
sulawesi ekspress,sulawesiekspress|general|national|website|indonesia|ebdeskind
the asian age,india|theasianage|mainstream|ebdeskmy|national|ebdeskind|indonesia
the national,egypt|portal|thenational|ebdeskmy|ebdeskind|international
todayonline,singapore|mainstream|todayonline|ebdeskmy|international|ebdeskind
bakohumas provinsi banten,bakohumasprovinsibanten|general|national|indonesia|ebdeskind
bangkok news,bangkoknews|portal|thailand|ebdeskmy|bakohumasprovinsibanten|indonesia|ebdeskind|national
berita babel,beritababel|general|national|website|indonesia|ebdeskind
christianity daily,christianitydaily|general|international|unitedstates|ebdeskind
fixsnews,fixsnews|general|website|indonesia|national|ebdeskind
info terkini,infoterkini|general|national|website|indonesia|polri|ebdeskind
katainfo,katainfo|general|national|website|indonesia|polri|ebdeskind
khairulryezal,khairulryezal|ebdeskmy|blog|malaysia
pbs newshour,pbsnewshour|mainstream|unitedstates|ebdeskmy
reuters,portal|global|technology|ebdeskmy|international|unitedstates|reuters|nfrbi|pantauanbi|bukalapak|ebdeskind
samudera kepri,samuderakepri|general|national|website|indonesia|dewanpers|ebdeskind
singapore business review,singaporebusinessreview|singapore|portal|technology|ebdeskmy|international|ebdeskind
wa today,watoday|general|international|australia|ebdeskind
87 online news,87onlinenews|national|website|indonesia|general|ebdeskind
bimata.id,bimata.id|national|website|indonesia|general|jakartaselatan|dkijakarta|ebdeskind
detakindonesia.co.id ,detakindonesia.co.id|national|website|indonesia|general|jakartapusat|dkijakarta|ebdeskind
edisi.id,edisi.id|general|national|website|indonesia|polri|ebdeskind
flight global,ebdeskmy|global|portal|flightglobal|ebdeskind|international
ghana web,ghanaweb|general|international|ghana|ebdeskind
harakahdaily,harakahdaily|mainstream|ebdeskmy|malaysia
india today,india|mainstream|indiatoday|ebdeskmy
indonesia expat,indonesiaexpat|general|international|indonesia|ebdeskind
kepri.tv,kepri.tv|general|national|website|indonesia|dewanpers|ebdeskind
kompak news,kompaknews|general|national|website|indonesia|ebdeskind
novandri blog,drmim|ebdeskmy|blog|malaysia
nusantara satu,nusantarasatu|national|website|indonesia|general|polri|ebdeskind
oaseindonesianews,oaseindonesianews|general|national|website|indonesia|polri|ebdeskind
oto.com,oto.com|national|website|indonesia|otomotif|jakartabarat|dkijakarta|ebdeskind
parpukari,parpukari|ebdeskmy|blog|malaysia
redaksi.co.id,redaksi.co.id|general|national|website|indonesia|ebdeskind
rilis kalimantan,riliskalimantan|national|website|indonesia|general|ebdeskind
sekilas media,sekilasmedia|general|national|website|indonesia|ebdeskind
sulsel mengabari,sulselmengabari|general|national|website|indonesia|ebdeskind
9 news fiji,9newsfiji|international|general|fiji|ebdeskind
asean today,aseantoday|general|international|singapore|ebdeskind
berita mimika,beritamimika|national|website|indonesia|general|timika|papua|ebdeskind
bharian,mainstream|bharian|technology|ebdeskmy|malaysia|general|ebdeskind|international
big news network,bignewsnetwork|portal|thailand|ebdeskmy|dewanpers|ebdeskind|international
birmingham mail,unitedkingdom|birminghammail|portal|ebdeskmy
bloomberg,portal|global|technology|bloomberg|ebdeskmy|international|unitedstates|nfrbi|pantauanbi|ebdeskind
breaking sulsel,breakingsulsel|general|national|website|indonesia|ebdeskind
bulletin journalist,bulletinjournalist|general|national|website|indonesia|ebdeskind
foxnews,mainstream|global|foxnews|ebdeskmy|international|unitedstates|ebdeskind
gugus tugas covid-19 kepri,gugustugascovid-19kepri|national|website|indonesia|general|ebdeskind
kanal sembilan,kanalsembilan|national|website|indonesia|general|ebdeskind
lampung77,lampung77|national|website|indonesia|general|bandarlampung|lampung|ebdeskind
mymetro,mainstream|ebdeskmy|mymetro|malaysia|international|general|ebdeskind
oegick media news,oegickmedianews|general|national|website|indonesia|polri|ebdeskind
petisi,petisi|general|national|website|indonesia|ebdeskind|jawatimur|surabaya|genteng|embongkaliasin
pwmu.co,pwmu.co|general|national|website|indonesia|ebdeskind
sulselinfo,sulselinfo|general|national|website|indonesia|polri|ebdeskind
sulutexpress,sulutexpress|general|national|website|indonesia|ebdeskind
the independent,unitedkingdom|theindependent|portal|ebdeskmy|ghana|international|general|ebdeskind
the new standard,philippines|mainstream|ebdeskmy|thestandard
amsterdam news.net,portal|netherlands|ebdeskmy|amsterdamnewsnet
asean economist,aseaneconomist|general|international|thailand|ebdeskind
bbc,bbc|global|mainstream|ebdeskmy|bukalapak|dewanpers|ebdeskind|international
berita blitar,beritablitar|national|website|indonesia|general|jawatimur|ebdeskind
betahita,betahita|national|website|indonesia|general|ebdeskind
businessworld.in,businessworld.in|general|international|india|ebdeskind
daily-sun,daily-sun|general|international|bangladesh|ebdeskind
dimasbagus.com,dimasbagus.com|national|website|indonesia|general|ebdeskind
dunia tambang,duniatambang|general|national|website|indonesia|ebdeskind
eye of riyadh,portal|saudiarabia|eyeofriyadh|ebdeskmy
guang ming online,guangmingonline|china|portal|ebdeskmy
houston chronicle,houstonchronicle|general|international|unitedstates|ebdeskind
info satu,infosatu|general|national|website|indonesia|ebdeskind
liputan 6 aceh,liputan6aceh|national|website|indonesia|general|aceh|ebdeskind
malaysia baru 2018 blog,malaysia|blog|politics|malaysiabaru2018blog|ebdeskmy
malaysia news,malaysia|portal|general|malaysianews|ebdeskmy
mizzima,mainstream|thailand|mizzima|myanmar|ebdeskmy|international|general|ebdeskind
mpk news,mpknews|national|website|indonesia|general|polri|ebdeskind
newsinsing,singapore|portal|insingcom|newsinsing|ebdeskmy|international|general|ebdeskind
sbo.co.id,sbo.co.id|national|website|indonesia|general|surabaya|jawatimur|ebdeskind
surabaya times,surabayatimes|general|national|website|indonesia|surabaya|ebdeskind
the shillong times,india|theshillongtimes|mainstream|ebdeskmy
times sidoarjo,timessidoarjo|national|website|indonesia|general|sidoarjo|jawatimur|ebdeskind
value walk,valuewalk|general|international|unitedstates|ebdeskind
arfak news,arfaknews|national|website|indonesia|general|polri|ebdeskind
beritaku,beritaku|general|national|website|indonesia|ebdeskind|sulawesiselatan|makassar|rappocini|buakana
daily excelsior,india|mainstream|ebdeskmy|dailyexcelsior|ebdeskind|international
dailymail.co.id,dailymail.co.id|general|national|website|indonesia|tni|ebdeskind
financeroll.com,financeroll.com|national|website|indonesia|general|ebdeskind
geteway house,getewayhouse|general|international|india|ebdeskind
harianmemokepri.com,harianmemokepri.com|general|national|website|indonesia|dewanpers|ebdeskind
info indonesia news,infoindonesianews|general|national|website|indonesia|ebdeskind|sulawesiselatan|luwutimur|malili|puncakindah
insiden news,insidennews|general|website|indonesia|national|ebdeskind|
inspirasinews.com,inspirasinews.com|national|website|indonesia|general|sumatraselatan|ebdeskind
jagat papua,jagatpapua|national|website|indonesia|general|polri|ebdeskind
jurnal time,jurnaltime|general|national|website|indonesia|ebdeskind
koreksi.id,koreksi.id|general|national|website|indonesia|ebdeskind|sulawesiutara|manado|malalayang|bahu
kota waringin news,kotawaringinnews|general|national|website|indonesia|ebdeskind|kalimantantengah|kotawaringinbarat|arutselatan|pasirpanjang
madaniy,madaniy|general|national|website|indonesia|dewanpers|tni|ebdeskind
mediaa1,mediaa1|general|national|website|indonesia|ebdeskind
news sabah times,mainstream|newsabahtimes|ebdeskmy|malaysia|international|general|ebdeskind
pacitan news,pacitannews|national|website|indonesia|general|ebdeskind
pedoman online,pedomanonline|general|national|website|indonesia|sulawesiselatan|makassar|mariso|ebdeskind
pribumi perkasa,ebdeskmy|pribumiperkasa|blog|malaysia
reaksi nasional,reaksinasional|general|national|website|indonesia|ebdeskind
redaksi 8,redaksi8|general|national|website|indonesia|ebdeskind|kalimantanselatan|banjarbaru|landasanulin|guntungmanggis
singaporenewalternative,singaporenewalternative|singapore|ebdeskmy|blog
star and stripes,starandstripes|general|international|unitedstates|ebdeskind
surabaya aktual,surabayaaktual|general|national|website|indonesia|surabaya|ebdeskind
tech central,thestaronline|mainstream|ebdeskmy|malaysia
the financial,thefinancial|general|international|georgia|ebdeskind
the local germany,thelocalgermany|portal|ebdeskmy|germany
the new indian express,india|mainstream|ebdeskmy|thenewindianexpress
trotoar,trotoar|general|national|website|indonesia|ebdeskind|sulawesiselatan|makassar|panakkukang|masale
up2date,up2date|national|website|indonesia|general|ebdeskind
valid news,validnews|general|national|website|indonesia|ebdeskind|dkijakarta|jakartaselatan|pasarminggu|cilandak
voa news,voanews|general|international|unitedstates|ebdeskind
xinhuanet china,china|portal|xinhua|ebdeskmy
yuseriyusoff,ebdeskmy|doubley|blog|malaysia
24 berita,24berita|general|national|website|indonesia|tni|ebdeskind
berita lingkungan,beritalingkungan|general|national|website|indonesia|ebdeskind
blogswsj,ebdeskmy|global|blogswsj|blog
business insider india,portal|businessinsiderindia|website|ebdeskmy|india|international|general|ebdeskind
d news radio,dnewsradio|general|national|website|indonesia|ebdeskind
daily mail,unitedkingdom|dailymail|international|general|ebdeskind
daily nation,dailynation|international|general|kenya|ebdeskind
dawn,dawn|general|international|pakistan|ebdeskind
fiji village,fijivillage|international|general|fiji|ebdeskind
global times,china|mainstream|globaltimes|ebdeskmy|international|general|ebdeskind
holland sentinel,hollandsentinel|portal|netherlands|ebdeskmy|ebdeskind|international
ikhwan web,egypt|ikhwanweb|portal|ebdeskmy
indikasi news,indikasinews|general|national|website|indonesia|dewanpers|tni|ebdeskind
info world,infoworld|general|international|unitedstates|ebdeskind
jeumpa news,jeumpanews|national|website|indonesia|general|ebdeskind
jurnal sidoarjo,jurnalsidoarjo|national|website|indonesia|general|sidoarjo|jawatimur|ebdeskind
justread-whatever,justreadwhatever|ebdeskmy|blog|malaysia
mahaguru58,ebdeskmy|mahaguru58|blog|malaysia
malaysiadigest,portal|malaysiadigest|technology|ebdeskmy|malaysia|international|ebdeskind
malaysianews tv,malaysia|blog|general|malaysianewstv|ebdeskmy
mata kalteng,matakalteng|national|website|indonesia|general|ebdeskind
media pro rakyat,mediaprorakyat|national|website|indonesia|general|polri|ebdeskind
news yahoo malaysia,yahoonewsmalaysia|portal|ebdeskmy|malaysia|ebdeskind|international
otomotifo,otomotifo|national|website|indonesia|otomotif|ebdeskind
perdana kepri,perdanakepri|general|international|indonesia|ebdeskind
ravalli republic,ravallirepublic|general|international|unitedstates|ebdeskind
roket kini,portal|roketkini|ebdeskmy|malaysia|international|general|ebdeskind
salleh keruak,sallehsaidkeruak|ebdeskmy|blog|malaysia
saudi gazzete,saudiarabia|portal|saudigazzete|ebdeskmy
sinarharian,mainstream|sinarharian|ebdeskmy|malaysia|international|social|bukalapak|ebdeskind
stars and stripes,mainstream|starsandstripes|ebdeskmy|germany
stopthelies,stopthelies|portal|ebdeskmy|malaysia
sumsel24,sumsel24|general|national|website|indonesia|dewanpers|ebdeskind
teras.id,teras.id|general|national|website|indonesia|ebdeskind
the gospel herald,thegospelherald|general|international|unitedstates|ebdeskind
the malaysian insider,portal|technology|themalaysianinsider|ebdeskmy|malaysia|dewanpers|ebdeskind|international
the online citizen,singapore|portal|theonlinecitizen|ebdeskmy|politic|international|dewanpers|ebdeskind
the star,portal|thestar|thestaronline|ebdeskmy|malaysia|general|bukalapak|dewanpers|ebdeskind|international
the star uk,thestaruk|unitedkingdom|portal|ebdeskmy|ebdeskind|international
worldheritage,worldheritage|portal|ebdeskmy|malaysia
wpxi,wpxi|general|international|russianfederation|ebdeskind
abc news,economic|abcnews|international|unitedstates|ebdeskind
aljazeera,global|mainstream|ebdeskmy|aljazeera|ebdeskind|international
amiruddin shari,malaysia|blog|politics|amiruddinshari|ebdeskmy
angin perubahan blog,anginperubahanblog|ebdeskmy|blog|malaysia
antara news manado,antaranewsmanado|national|website|indonesia|general|manado|ebdeskind
avran,avran|ebdeskmy|blog|malaysia
baliexpress,baliexpress|national|website|indonesia|general|denpasar|bali|ebdeskind
belantan blog,belantanblog|ebdeskmy|blog|malaysia
berita harian,singapore|mainstream|beritaharian|ebdeskmy|general|website|indonesia|national|polri|jakbar|ebdeskind
berita terkini,beritaterkini|portal|ebdeskmy|malaysia|ebdeskind|international
bigdogdotcom,bigdogdotcom|ebdeskmy|blog|malaysia|ebdeskind|international
bisnis metro,bisnismetro|general|national|website|indonesia|tni|ebdeskind
cameroon news,cameroon|cameroonnews|international|general|ebdeskind
cjp,cjp|general|international|singapore|ebdeskind
comesingapore,ebdeskmy|singapore|portal|comesingapore
cri online,crionline|general|international|china|ebdeskind
detikperubahan,portal|detikperubahan|ebdeskmy|malaysia
editioncnn,global|mainstream|ebdeskmy|editioncnn
epoch times,mainstream|global|epochtimes|ebdeskmy|international|general|unitedstates|ebdeskind
expatriatelifestyle,expatriatelifestyle|portal|ebdeskmy|malaysia|ebdeskind|international
express,mainstream|express|ebdeskmy|unitedkingdom|international|general|ebdeskind
finance twitter,financetwitter|ebdeskmy|blog|malaysia
free press journal,india|mainstream|freepressjournal|ebdeskmy|ebdeskind|international
garda papua,gardapapua|national|website|indonesia|general|polri|ebdeskind
garuda citizen,garudacitizen|national|website|indonesia|general|ebdeskind
gemilang daily,malaysia|portal|politics|gemilangdaily|ebdeskmy
genpi.co,genpi.co|general|national|website|indonesia|ebdeskind|dkijakarta|jakartaselatan|kebayoranlamagrogolutara
global indonesian voices,globalindonesianvoices|general|national|website|indonesia|ebdeskind
green left,greenleft|general|international|australia|ebdeskind
hankam news,hankamnews|general|national|website|indonesia|tni|ebdeskind
hindustan times,mainstream|website|ebdeskmy|india|international|general|hindustantimes|ebdeskind
huffpost,thehuffpost|portal|ebdeskmy|unitedstates
indian express,indianexpress|general|international|india|ebdeskind
indo zone,indozone|general|national|website|indonesia|tni|ebdeskind|dewanpers
info sebenar,malaysia|portal|general|infosebenar|ebdeskmy
jatimpos.id,jatimpos.id|general|national|website|indonesia|ebdeskind|tni
kabar nusantara news,kabarnusantaranews|general|national|website|indonesia|ebdeskind|sulawesiselatan|makassar|tamalate|pabaengbaeng
kashmir times,india|mainstream|ebdeskmy|kashmirtimes
kita reporters,malaysia|portal|social|kitareporters|ebdeskmy
kkp.go.id,kkp.go.id|general|national|website|indonesia|ebdeskind
klik kalimantan,klikkalimantan|general|national|website|indonesia|ebdeskind|kalimantanselatan|banjar|astambul
kliksulsel.com,kliksulsel.com|general|national|website|indonesia|ebdeskind|sulawesiselatan|wajo|tempe|siengkang
klpos,rakyatnews|portal|ebdeskmy|malaysia|ebdeskind|international
kupas online,kupasonline|general|national|website|indonesia|ebdeskind
laras post online,laraspostonline|general|national|website|indonesia|dewanpers|tni|ebdeskind
lihat papua,lihatpapua|national|website|indonesia|general|polri|ebdeskind
lira media,liramedia|national|website|indonesia|general|surabaya|jawatimur|ebdeskind
majalah nurani,majalahnurani|national|website|indonesia|general|ebdeskind
malaysia kini,ebdeskmy|portal|malaysiakini|malaysia|bukalapak|ebdeskind|international
matangi tonga online,matangitongaonline|general|international|tonga|ebdeskind
media harapan,mediaharian|general|national|website|indonesia|ebdeskind
menafn,menafn|general|international|jordan|ebdeskind
mobil123,mobil123|general|national|website|indonesia|ebdeskind
mole,portal|themole|ebdeskmy|malaysia|ebdeskind|international
morocco world news,moroccoworldnews|general|international|morocco|ebdeskind
msn,sport|canada|international|msn|ebdeskind
natural news,naturalnews|mainstream|unitedstates|ebdeskmy
news summed up,national|indonesia|website|ebdeskind|general|newssummedup
nokennews.com,nokennews.com|national|website|indonesia|general|polri|ebdeskind
oridek news,orideknews|national|website|indonesia|general|polri|ebdeskind
pakistan christian post,pakistanchristianpost|general|international|pakistan|ebdeskind
papuabaratonline.com,papuabaratonline.com|national|website|indonesia|general|polri|ebdeskind
periksa21,periksa21|national|website|indonesia|general|ebdeskind
pojok satu,mainstream|indonesia|dewanpers|pojoksatu|ebdeskmy|ebdeskind|economic|national|bogor|jawabarat|website|tni
poros nusantara,porosnusantara|general|national|website|indonesia|ebdeskind
portal tujuh,portaltujuh|general|website|indonesia|national|ebdeskind
press tv,presstv|general|international|iran|ebdeskind
republik merdeka jabar,jabar|ebdeskind|indonesia|website|rakyatmerdekajabar|general|national|jawabarat|bandung|cimenyan|cibeunying|kementan
republik merdeka jakarta,rakyatmerdekajakarta|jakarta|indonesia|website|ebdeskind|general|national|jakartaselatan|pancoran|rawajati|kementan
republik merdeka jateng,republikmerdekajateng|general|national|website|indonesia|ebdeskind
rt news,rt|mainstream|unitedstates|ebdeskmy
saba news,sabanews|mainstream|ebdeskmy|netherlands
sabah post,malaysia|portal|general|sabahpost|ebdeskmy
sarawak report,sarawakreport|portal|ebdeskmy|malaysia
science mag,sciencemag|global|mainstream|ebdeskmy
selangorku,selangorkini|mainstream|selangorku|ebdeskmy|malaysia|general
sino-us,china|portal|ebdeskmy|sinous
surabaya newsweek,surabayanewsweek|general|national|website|indonesia|surabaya|ebdeskind|jawatimur|sukomanunggal|simomulyo
telegraph,portal|financial|thetelegraph|ebdeskmy|unitedkingdom|international|unitedstates|telegraph|dewanpers|ebdeskind
thailand press release,thailandpressrelease|portal|thailand|ebdeskmy
the daily star egypt,egypt|thedailystaregypt|mainstream|ebdeskmy|ebdeskind|international
the denver post,thedenverpost|portal|ebdeskmy|unitedstates
the economic observer,china|theeconomicobserver|mainstream|ebdeskmy
the hindu,portal|website|ebdeskmy|india|thehindu|international|general|ebdeskind
the india express,india|theindianexpress|mainstream|ebdeskmy
the local france,ebdeskmy|france|portal|thelocalfrance
the malay mail online,mainstream|technology|themalaymailonline|ebdeskmy|malaysia|ebdeskind|international
the malaysia online,malaysia|portal|general|themalaysiaonline|ebdeskmy
the malaysian insight,themalaysianinsight|portal|ebdeskmy|malaysia|ebdeskind|international
the new york times,mainstream|website|international|thenewyorktimes|unitedstates|bukalapak|ebdeskind
the oklahoman,theoklahoman|website|international|general|unitedstates|ebdeskind
the philippine star,philippines|mainstream|ebdeskmy|thephilippinestar
the star malaysia,eb1847Postdeskind|malaysia|thestarmalaysia|international|general|dewanpers|ebdeskind
theborneopost,portal|technology|theborneopost|ebdeskmy|malaysia|international|bukalapak|ebdeskind
tremeritus,singapore|portal|tremeritus|ebdeskmy|international|ebdeskind
tribun news lampung,indonesia|ebdeskind|general|tribunnewslampung|lampung|bandarlampung|rajabasa|gedongmeneng|kementan
uc news,national|indonesia|website|ebdeskind|general|ucnews|dkijakarta|jakartapusat|tanahabang|gelora
umno bahagian cheras,umnobahagiancheras|ebdeskmy|malaysia|general|blog
umnoreform,portal|umnoreform|ebdeskmy|malaysia
unbox,unbox|national|website|indonesia|technology|ebdeskind
vibiz media,vibizmedia|national|website|indonesia|general|ebdeskind
wajo terkini,wajoterkini|general|national|website|indonesia|ebdeskind|sulawesiselatan|wajo|tempe|bulupabbulu
weau 13 news,weau13news|general|website|ebdeskmy|international|unitedstates|ebdeskind
weechookeong,ebdeskmy|weechookeong|blog|malaysia
yonhap news,yonhapnews|culture|ebdeskmy|international|korearepublicof|bukalapak|ebdeskind
zamkata,zamkata|ebdeskmy|blog|malaysia
zamsaham,zamsaham|ebdeskmy|blog|malaysia
zona papua,zonapapua|national|website|indonesia|general|polri|ebdeskind
