source,media_tags
realita kini,realitakini|general|national|website|indonesia|dewanpers|tni|ebdeskind
andalas time,andalastime|general|national|website|indonesia|dewanpers|ebdeskind
freepress,portal|freepress|unitedstates|ebdeskmy
tribunjateng.co,tribunjateng.co|general|national|website|indonesia|dewanpers|tni|ebdeskind
madiun adem,madiunadem|national|website|indonesia|general|polri|madiun|jawatimur|ebdeskind
xtra,xtra|general|international|malaysia|ebdeskind|ebdeskmy
idn times jatim,idntimesjatim|national|website|indonesia|general|jawatimur|ebdeskind
wilis terkini,wilisterkini|national|website|indonesia|general|polri|ebdeskind
suaramerdeka.news,suaramerdeka.news|national|website|indonesia|general|semarang|ebdeskind
bulawa news,bulawanews|general|national|website|indonesia|dewanpers|tni|ebdeskind
mail & guardian,mail&guardian|art|southafrica|international|ebdeskind
beruang madu news,beruangmadunews|national|website|indonesia|general|deskripsi|kalimantantimur|deskripsi|ebdeskind
blitar terkini,blitarterkini|national|website|indonesia|general|blitar|jawatimur|ebdeskind|
esqnews.id,esqnews.id|general|national|website|indonesia|ebdeskind
metro sulbar,metrosulbar|general|national|website|indonesia|ebdeskind|sulawesibarat|mamuju|rimuku
detak riau,detakriau|general|national|website|indonesia|dewanpers|ebdeskind
detotabuan,detotabuan|general|national|website|indonesia|dewanpers|tni|ebdeskind
tv10 news grup,tv10newsgrup|general|national|website|indonesia|polri|ebdeskind
hallo madiun,hallomadiun|national|website|indonesia|general|madiun|jawatimur|polri|ebdeskind
waktuku,waktuku|general|national|website|indonesia|ebdeskind
si tinjau sumbar,sitinjausumbar|general|national|website|indonesia|dewanpers|tni|ebdeskind
habar kalimantan,habarkalimantan|general|website|indonesia|national|ebdeskind
jambiindependent.co.id,jambiindependent.co.id|general|national|website|indonesia|dewanpers|ebdeskind
aneka fakta,anekafakta|general|national|website|indonesia|polri|ebdeskind
warta kota,wartakota|general|indonesia|national|website|kalsel|banjarbaru|ebdeskind
cambodia news vision,cambodia|portal|ebdeskmy|cambodianewvision|general|website
aci kepri,acikepri|general|national|website|indonesia|dewanpers|tni|ebdeskind
gema medianet,gemamedianet|general|national|website|indonesia|dewanpers|ebdeskind
komentar,komentar|general|national|website|indonesia|dewanpers|tni|ebdeskind
madiun ae,madiunae|national|website|indonesia|general|madiun|jawatimur|polri|ebdeskind
berita baru,beritabaru|national|website|indonesia|general|jakartatimur|dkijakarta|ebdeskind
fornews.co,fornews.co|general|national|website|indonesia|dewanpers|ebdeskind
gresnews.com,grasnews.com|general|website|indonesia|national|ebdeskind
rakyat terkini,rakyatterkini|general|national|website|indonesia|dewanpers|tni|ebdeskind
go sumsel,gosumsel|general|national|website|indonesia|dewanpers|ebdeskind
riau headline,riauheadline|general|national|website|indonesia|dewanpers|ebdeskind
berita karimun,beritakarimun|general|national|website|indonesia|dewanpers|ebdeskind
buser online news,buseronlinenews|national|website|indonesia|general|bekasi|jawabarat|ebdeskind
kabar publik,kabarpublik|general|national|website|indonesia|dewanpers|ebdeskind
kronik totabuan,kroniktotabuan|general|national|website|indonesia|dewanpers|tni|ebdeskind
metro bekasi,metrobekasi|general|website|indonesia|national|ebdeskind
delinews.tv,delinews.tv|general|national|website|indonesia|polri|ebdeskind
tapak tuan post,tapaktuanpost|national|website|indonesia|general|ebdeskind
kepridays.co.id,kepridays.co.id|general|national|website|indonesia|dewanpers|ebdeskind
sumaterazone,sumaterazone|general|national|website|indonesia|dewanpers|tni|ebdeskind
asia correspondent,singapore|portal|asiancorrespondent|ebdeskmy
bali ekbis,baliekbis|national|website|indonesia|general|denpasar|bali|ebdeskind
rujukannews.com,rujukannews.com|general|national|website|indonesia|polri|ebdeskind
ewarta.com,ewarta.com|national|website|indonesia|general|ebdeskind
majalah just for kids,majalahjustforkids|national|website|indonesia|generaldkijakarta|ebdeskind
semarak post,semarakpost|general|national|website|indonesia|dewanpers|ebdeskind
tajuk utama,tajukutama|general|national|website|indonesia|ebdeskind
trans sumatera,transsumatera|national|website|indonesia|general|lampung|sumatraselatan|ebdeskind
bagus news,bagusnews|national|website|indonesia|general|polri|ebdeskind
manadoterkini.com,manadoterkini.com|general|national|website|indonesia|dewanpers|ebdeskind
suarakarya.co.id,suarakarya.co.id|national|website|indonesia|general|ebdeskind|
penapost.id,penapost.id|general|national|website|indonesia|dewanpers|ebdeskind
ayo bogor,ayobogor|national|website|indonesia|general|bogor|jawabarat|ebdeskind
cahaya manado,cahayamanado|general|national|website|indonesia|dewanpers|tni|ebdeskind
indeks info polisi,indeksinfopolisi|national|website|indonesia|general|ebdeskind|polri
kabarsbi,kabarsbi|national|website|indonesia|general|jakartautara|dkijakarta|ebdeskind
post courier png,postcourierpnginternational|papuanewguinea|general|ebdeskind
suara banyumas,suarabanyumas|national|website|indonesia|general|banyumas|jawatengah|ebdeskind
pontas.id,pontas.id|general|national|website|indonesia|dewanpers|tni|ebdeskind
presmedia,presmedia|general|national|website|indonesia|dewanpers|tni|ebdeskind
tribun riau,tribunriau|general|international|indonesia|ebdeskind
inibaru.id,inibaru.id|national|website|indonesia|general|ebdeskind
sinar pidie,sinarpidie|general|national|website|indonesia|dewanpers|ebdeskind
topikini,topikini|general|national|website|indonesia|ebdeskind
shanghai daily,china|portal|shanghaidaily|ebdeskmy
anantanews.id,anantanews.id|national|website|indonesia|general|ebdeskind
multimedia center kalimantan tengah,multimediacenterkalimantantengah|general|national|website|indonesia|ebdeskind
joss.co.id,joss.co.id|national|website|indonesia|general|ebdeskind
voxsulut.com,voxsulut.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
zona xpose,zonaxpose|general|national|website|indonesia|polri|ebdeskind|indonesia
radar depok,radardepok|national|website|indonesia|general|depok|jawabarat|ebdeskind
reportase.tv,reportase.tv|national|website|indonesia|general|ebdeskind
acn newswire,acnnewswire|international|website|japan|general|ebdeskind
media blitar,mediablitar|national|website|indonesia|general|jawatimur|ebdeskind
wartaonline.id,wartaonline.id|national|website|indonesia|general|lampung|ebdeskind
dering24,dering24|national|website|indonesia|general|ebdeskind
katadia.co,katadia.co|national|website|indonesia|general|polri|ebdeskind
india.com,india.com|general|international|india|ebdeskind
fajar manado,fajarmanado|general|national|website|indonesia|dewanpers|tni|ebdeskind
otodriver,otodriver|national|website|indonesia|otomotif|jakartabarat|dkijakarta|ebdeskind
kata kepri,katakepri|general|national|website|indonesia|dewanpers|tni|ebdeskind
pecel news,pecelnews|national|website|indonesia|general|polri|ebdeskind
unusantara,unusantara|general|national|website|indonesia|dewanpers|ebdeskind
the8news,the8news|general|national|website|indonesia|dewanpers|tni|ebdeskind
info madiun ae,infomadiunae|national|website|indonesia|general|madiun|jawatimur|polri|ebdeskind
jurnal kepri,jurnalkepri|general|national|website|indonesia|dewanpers|ebdeskind
kumparan sultra,kumparansultra|general|national|website|indonesia|dewanpers|tni|ebdeskind
public now,publicnow|general|international|unitedstates|ebdeskind
rakjat,rakjat|national|website|indonesia|general|bengkulu|ebdeskind
sinar pagi baru,sinarpagibaru|national|website|indonesia|general|ebdeskind
ampenan news,ampenannews|national|website|indonesia|general|nusatenggarabarat|ebdeskind
gebrak news,gebraknews|general|national|website|indonesia|dewanpers|tni|ebdeskind
betv news,betvnews|national|website|indonesia|general|ebdeskind
lampu kuning,lampukuning|general|national|website|indonesia|dewanpers|ebdeskind
regamedia news,regamedianews|general|national|website|indonesia|dewanpers|tni|ebdeskind
telegrafnews.co.id,telegrafnews.co.id|general|national|website|indonesia|dewanpers|tni|ebdeskind
wartakini,wartakini|general|national|website|indonesia|ebdeskind
manado zone,manadozone|general|national|website|indonesia|dewanpers|tni|ebdeskind
buletin news,buletinnews|general|national|website|indonesia|dewanpers|tni|ebdeskind
detak media,detakmedia|general|national|indonesia|ebdeskind
koran perbatasan,koranperbatasan|general|national|website|indonesia|dewanpers|tni|ebdeskind
metro deadline,metrodeadline|national|website|indonesia|general|lampung|sumatraselatan|ebdeskind
radarsidoarjo,radarsidoarjo|national|website|indonesia|general|sidoarjo|jawatimur|ebdeskind
makassar pena,makassarpena|general|national|website|indonesia|ebdeskind
regalianews,regalianews|general|national|website|indonesia|dewanpers|tni|ebdeskind
palpos.id,palpos.id|general|national|website|indonesia|dewanpers|ebdeskind
berita kepri,beritakepri|general|national|website|indonesia|dewanpers|tni|ebdeskind
liputan polri,liputanpolri|general|national|website|indonesia|polri|ebdeskind
antara news manado ,antaranewsmanado|national|website|indonesia|general|manado|ebdeskind
jogo suroboyo,jogosuroboyo|general|national|website|indonesia|polri|ebdeskind
ekspos sumbar,ekspossumbar|general|national|website|indonesia|dewanpers|tni|ebdeskind
reportase papua,reportasepapua|national|website|indonesia|general|papua|ebdeskind
barru pos,barrupos|general|national|website|indonesia|ebdeskind
gerbangkepri.com,gerbangkepri.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
lampung terkini,lampungterkini|national|website|indonesia|general|lampung|ebdeskind
islands business,islandsbusinessinternational|fiji|general|ebdeskind
portalkriminal.id,portalkriminal.id|national|website|indonesia|general|jakartaselatan|dkijakarta|ebdeskind
rilis info,rilisinfo|general|national|website|indonesia|ebdeskind|polri
mail online,mailonline|unitedkingdom|mainstream|ebdeskmy
metropolis.co.id,metropolis.co.id|general|national|website|indonesia|dewanpers|ebdeskind
multimedia center kotawaringin barat,multimediacenterkotawaringinbarat|general|national|website|indonesia|ebdeskind
sergapreborn,sergapreborn|national|website|indonesia|general|jakartapusat|dkijakarta|polri|ebdeskind
zona buser,zonabuser|general|national|website|indonesia|polri|ebdeskind
pelita kepri,pelitakepri|website|national|indonesia|general|ebdeskind
sentral one ,indonesia|polri|sentralone|ebdeskind|genereal|national
tehran times daily newspaper,tehrantimesdailynewspaper|general|international|iran|ebdeskind
jatimnet.com,jatimnet.com|national|general|indonesia|website|ebdeskind
bisnisjakarta.id,bisnisjakarta.id|national|website|indonesia|general|dkijakarta|ebdeskind
kasusta,kasusta|general|national|website|indonesia|polri|ebdeskind
sportku,sportku|national|website|indonesia|sport|ebdeskind
channel news asia,singapore|mainstream|channelnewsasia|entertainment|ebdeskmy|international|ebdeskind
suara palapa,suarapalapa|general|national|website|indonesia|ebdeskind
greeners,greners|general|national|website|indonesia|ebdeskind
topik indo,topikindo|general|national|website|indonesia|ebdeskind
whio,whio|general|international|unitedstates|ebdeskind
kundur news,kundurnews|general|national|website|indonesia|dewanpers|tni|ebdeskind
rancahpost.com,rancahpost.com|general|national|website|indonesia|ebdeskind
republik news,republiknews|general|national|website|indonesia|ebdeskind
50detik,50detik|national|website|indonesia|general|jakartautara|dkijakarta|ebdeskind
newsxin,ebdeskmy|newsxin|portal|singapore
bolmong post,bolmongpost|general|national|website|indonesia|dewanpers|ebdeskind
info seputar kebonsari,infoseputarkebonsari|national|website|indonesia|general|polri|ebdeskind
kabar satu,kabarsatu|general|national|website|indonesia|ebdeskind
prodesanews,prodesanews|general|national|website|indonesia|dewanpers|ebdeskind
global cyber news,globalcybernews|general|national|website|indonesia|polri|ebdeskind
kabaralam,kabaralam|general|website|indonesia|national|ebdeskind
perdana news,perdananews|general|national|website|indonesia|polri|ebdeskind
info totabuan,infototabuan|general|national|website|indonesia|dewanpers|tni|ebdeskind
lensa purbalingga,lensapurbalingga|national|website|indonesia|general|bandung|jawabarat|ebdeskind
lidik.id,lidik.id|national|website|indonesia|general|lampung|ebdeskind
lintas papua,lintaspapua|national|website|indonesia|general|papua|ebdeskind
memorandum.co.id,memorandum.co.id|general|national|website|indonesia|polri|ebdeskind
djournalist,djournalist|general|national|website|indonesia|ebdeskind
marketwatch,international|marketwatch|unitedstates|general|ebdeskind
radar investigasi,radarinvestigasi|general|national|website|indonesia|ebdeskind
bangun piaman,bangunpiaman|general|national|website|indonesia|dewanpers|tni|ebdeskind
boston herald,bostonherald|general|international|unitedstates|ebdeskind
mahardika news,mahardikanews|general|national|website|indonesia|dewanpers|tni|ebdeskind
newsikal,newsikal|national|website|indonesia|general|bengkulu|ebdeskind
inilah kepri,inilahkepri|general|website|indonesia|national|ebdeskind
portal manado,portalmanado|general|national|website|indonesia|dewanpers|ebdeskind
jember post,jemberpost|general|national|website|indonesia|dewanpers|ebdeskind
mitra mediasiber,mitramediasiber|national|website|indonesia|general|polri|ebdeskind
metro sidik,metrosidik|general|national|website|indonesia|dewanpers|tni|ebdeskind
fokus bengkulu,fokusbengkulu|national|website|indonesia|general|ebdeskind
kabarok,kabarok|general|national|website|indonesia|dewanpers|ebdeskind
liputan bmi,liputanbmi|general|national|website|indonesia|ebdeskind
asia one,singapore|portal|entertainment|asiaone|ebdeskmy|international|ebdeskind
bhatara,bhatara|general|national|website|indonesia|dewanpers|tni|ebdeskind
deutsche welle,deutschewelle|mainstream|ebdeskmy|germany
kabar dewata,kabardewata|national|website|indonesia|general|denpasar|bali|ebdeskind
the pioneer,india|mainstream|ebdeskmy|thetribuneindia
diskominfo provinsi banten,diskominfoprovinsibanten|general|national|website|indonesia|banten|ebdeskind
jordan news agency,jordannewsagency|general|international|jordan|ebdeskind
freemalaysiatoday,portal|ebdeskmy|malaysia|international|freemalaysiatoday|ebdeskind
aceh video,acehvideo|general|national|website|indonesia|dewanpers|tni|ebdeskind
arabianbusines,arabianbusiness|global|portal|ebdeskmy|ebdeskind
dael pos,daelpos|general|national|website|indonesia|polri|ebdeskind
harian siber,hariansiber|national|website|indonesia|general|tegal|jawatengah|ebdeskind
panji nasional,panjinasional|national|website|indonesia|general|ebdeskind
pena 7,pena7|general|national|website|indonesia|polri|ebdeskind
tabaos14.com,tabaos14.com|national|website|indonesia|general|ebdeskind
the chosunilbo,thechosunilbo|international|general|korearepublicof|bukalapak|ebdeskind
tribun bali travel,tribunbalitravel|national|website|indonesia|general|denpasar|bali|ebdeskind
nusantarabicara.co,nusantarabicara.co|general|national|website|indonesia|polri|ebdeskind
radar news1,radarnews1|general|website|indonesia|national|ebdeskind
wtop,wtop|general|international|unitedstates|ebdeskind
edu publik jabar,edupublikjabar|national|website|indonesia|general|jawabarat|ebdeskind
infosiak.com,infosiak.com|general|national|website|indonesia|dewanpers|tni|ebdeskind
papua bangkit,papuabangkit|national|website|indonesia|general|papua|ebdeskind
topik papua,topikpapua|national|website|indonesia|general|papua|ebdeskind
cambodia news,portal|cambodia|cambodiannews|ebdeskmy|international|cambodianews
lentera today,lenteratoday|national|website|indonesia|general|ebdeskind
straitstimes,singapore|mainstream|thestraitstimes|ebdeskmy|ebdeskind|international
lidik nusantara,lidiknusantara|general|national|website|indonesia|dewanpers|ebdeskind
masakini.co,masakini.co|general|national|website|indonesia|ebdeskind
metro lacak,metrolacak|general|national|website|indonesia|polri|ebdeskind
selasar.co,selasar.co|national|website|indonesia|general|samarinda|kalimantantimur|ebdeskind
the indian express,india|theindianexpress|mainstream|ebdeskmy|ebdeskind|international
indo politika,indopolitika|general|national|website|indonesia|ebdeskind
navhind times,india|thenavhindtimes|mainstream|ebdeskmy
papua inside,papuainside|national|website|indonesia|general|papua|ebdeskind
republik jatim,republikjatim|national|website|indonesia|general|sidoarjo|jawatimur|ebdeskind
agenda daily,portal|ebdeskmy|agendadaily|malaysia|ebdeskind|international
berita online,beritaonline|general|national|website|indonesia|polri|ebdeskind
dunia energi,duniaenergi|national|website|indonesia|general|ebdeskind
news yahoo singapore,yahoonewssingapore|singapore|portal|ebdeskmy|ebdeskind|international
nusa daily,nusadaily|national|website|indonesia|general|ebdeskind
polres gowa,polresgowa|national|website|indonesia|general|polri|jakartaselatan|dkijakarta|ebdeskind|
tiffanews,tiffanews|national|website|indonesia|general|ebdeskind
wahana indonesia,wahanaindonesia|general|national|website|indonesia|ebdeskind
konde.co,konde.co|national|website|indonesia|general|ebdeskind
pelita sumatera,pelitasumatera|general|national|website|indonesia|tni|ebdeskind
vox.com,vox.com|general|website|international|unitedstates|bukalapak|ebdeskind
banua post,banuapost|national|website|indonesia|general|kalimantanselatan|ebdeskind
bharata news,bharatanews|national|website|indonesia|general|polri|bogor|jawabarat|ebdeskind
borneo trend,borneotrend|national|website|indonesia|general|banjarmasin|kalimantanselatan|ebdeskind
geunta,geunta|national|website|indonesia|general|ebdeskind
klik kalsel,klikkalsel|national|website|indonesia|general|banjarmasin|kalimantanselatan|ebdeskind
meja redaksi,mejaredaksi|general|national|website|indonesia|dewanpers|ebdeskind
noken live,nokenlive|national|website|indonesia|general|ebdeskind
uri,uri|general|national|website|indonesia|ebdeskind
balpos,balpos|national|website|indonesia|general|balikpapan|kalimantantimur|ebdeskind
cyberberitaasia,singapore|mainstream|ebdeskmy|cyberberitaasia
hijauku,hijauku|general|national|website|indonesia|ebdeskind
publi capos,publicapos|general|national|website|indonesia|ebdeskind
seru.co.id,seru.co.id|national|website|indonesia|general|malang|jawatimur|ebdeskind
albalad.co,albalad.co|general|national|website|indonesia|ebdeskind
balipost.co.id,balipost.co.id|regional|national|website|indonesia|ebdeskind
cipan tapir & tenuk,blog|ebdeskmy|cipantapirtenuk|malaysia
corong sultra,corongrakyat|national|website|indonesia|general|ebdeskind|
kape fm,kapefm|national|website|indonesia|general|ebdeskind
klikjatim.com,klikjatim.com|national|general|website|indonesia|ebdeskind
palembang talk,palembangtalk|general|national|website|indonesia|palembang|sumateraselatan|ebdeskind
riau monitor,riaumonitor|national|website|indonesia|general|ebdeskind
sitanggang,sitanggang|general|national|website|indonesia|ebdeskind
asian correspondent,singapore|portal|asiancorrespondent|ebdeskmy
deccan chornicle,india|mainstream|ebdeskmy|deccanchornicle
financial express,financialexpress|general|international|india|ebdeskind
